date,time,open,high,low,close,daily_poc,h4_poc,weekly_poc,adx_14,di_plus_14,di_minus_14
2021.06.01,08:00,13742.927,13750.689,13732.499,13743.459,13681.419,13737.319,13714.719,16.8,24.62,11.92
2021.06.01,09:00,13743.699,13776.507,13709.309,13727.109,13681.419,13737.319,13714.719,19.02,27.28,9.62
2021.06.01,10:00,13727.287,13734.607,13596.929,13618.959,13681.419,13737.319,13714.719,19.37,19.14,31.12
2021.06.01,11:00,13618.927,13670.409,13605.359,13663.299,13681.419,13737.319,13714.719,19.69,16.61,27.02
2021.06.01,12:00,13663.399,13679.789,13643.709,13668.509,13681.419,13618.959,13714.719,19.59,17.3,25.04
2021.06.01,13:00,13668.477,13668.599,13640.279,13664.219,13681.419,13618.959,13714.719,19.6,16.29,24.29
2021.06.01,14:00,13664.249,13697.297,13657.419,13693.009,13681.419,13618.959,13714.719,18.45,20.8,22.32
2021.06.01,15:00,13693.249,13694.499,13648.809,13653.667,13681.419,13618.959,13714.719,17.67,18.91,22.01
2021.06.01,16:00,13653.589,13659.999,13647.619,13653.999,13681.419,13653.667,13714.719,16.99,18.42,21.69
2021.06.01,18:00,13646.449,13648.097,13625.879,13627.339,13681.419,13653.667,13714.719,17.07,17.33,24.99
2021.06.01,19:00,13627.377,13638.599,13624.299,13636.689,13681.419,13653.667,13714.719,17.19,16.78,24.55
2021.06.01,20:00,13636.697,13658.797,13627.729,13653.769,13681.419,13627.339,13714.719,16.43,20.1,22.87
2021.06.01,21:00,13653.779,13659.907,13640.249,13647.709,13681.419,13627.339,13714.719,15.67,19.45,21.84
2021.06.01,22:00,13647.757,13659.589,13641.139,13646.309,13681.419,13627.339,13714.719,14.96,18.61,20.9
2021.06.01,23:00,13646.389,13654.807,13639.309,13644.649,13681.419,13627.339,13714.719,14.39,17.91,20.56
2021.06.02,00:00,13644.887,13645.499,13637.249,13642.469,13618.959,13644.649,13714.719,13.94,17.53,20.65
2021.06.02,01:00,13642.699,13662.717,13640.409,13650.997,13618.959,13644.649,13714.719,13.22,20.99,19.45
2021.06.02,02:00,13650.649,13650.649,13635.249,13646.219,13618.959,13644.649,13714.719,12.29,20.1,20.02
2021.06.02,03:00,13646.379,13657.889,13618.619,13632.409,13618.959,13644.649,13714.719,12.16,18.05,22.29
2021.06.02,04:00,13632.409,13644.587,13620.639,13626.389,13618.959,13632.409,13714.719,12.04,16.92,20.89
